City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
153,Bredasdorp,-34.5322,20.0403,66.99,83,4,1.99,ZA,clear sky
154,Mahebourg,-20.4081,57.7,78.8,89,75,8.05,MU,light rain
155,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
156,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
157,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
158,Semnan,35.5729,53.3971,41.5,64,12,3.33,IR,few clouds
159,Albany,42.6001,-73.9662,21.0,46,11,5.01,US,few clouds
160,Doha,25.2867,51.5333,68.0,60,0,11.5,QA,clear sky
161,Oskarshamn,57.2645,16.4484,25.0,100,83,4.61,SE,broken clouds
162,Dale,38.1689,-86.99,41.0,81,90,10.36,US,light rain
163,Pangnirtung,66.1451,-65.7125,-9.4,77,20,2.84,CA,few clouds
164,Geraldton,-28.7667,114.6,84.2,24,0,18.41,AU,clear sky
165,Qaanaaq,77.484,-69.3632,-7.26,70,91,1.66,GL,overcast clouds
166,Dikson,73.5069,80.5464,-35.93,81,0,8.23,RU,clear sky
167,Dikson,73.5069,80.5464,-35.93,81,0,8.23,RU,clear sky
168,Qaanaaq,77.484,-69.3632,-7.26,70,91,1.66,GL,overcast clouds
169,Albany,42.6001,-73.9662,21.0,46,11,5.01,US,few clouds
170,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
171,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
172,Bredasdorp,-34.5322,20.0403,66.99,83,4,1.99,ZA,clear sky
173,Dikson,73.5069,80.5464,-35.93,81,0,8.23,RU,clear sky
174,Dikson,73.5069,80.5464,-35.93,81,0,8.23,RU,clear sky
175,Dikson,73.5069,80.5464,-35.93,81,0,8.23,RU,clear sky
176,Seminole,28.7086,-81.2081,73.99,40,20,5.75,US,few clouds
177,Trairi,-3.2778,-39.2689,80.73,75,50,11.05,BR,scattered clouds
178,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
179,Longyearbyen,78.2186,15.6401,-2.2,55,20,20.71,SJ,few clouds
180,Bredasdorp,-34.5322,20.0403,66.99,83,4,1.99,ZA,clear sky
181,Albany,42.6001,-73.9662,21.0,46,11,5.01,US,few clouds
182,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
183,Qaanaaq,77.484,-69.3632,-7.26,70,91,1.66,GL,overcast clouds
184,Hermanus,-34.4187,19.2345,66.99,83,2,1.99,ZA,clear sky
185,Qaanaaq,77.484,-69.3632,-7.26,70,91,1.66,GL,overcast clouds
186,Berlevag,70.8578,29.0864,25.05,96,100,22.66,NO,light snow
187,Shelburne,44.0787,-80.2041,26.6,73,1,6.91,CA,clear sky
188,Busselton,-33.65,115.3333,63.0,76,0,4.0,AU,clear sky
189,Qaanaaq,77.484,-69.3632,-7.26,70,91,1.66,GL,overcast clouds
190,Longyearbyen,78.2186,15.6401,-2.2,55,20,20.71,SJ,few clouds
191,Jalu,29.0331,21.5482,62.04,40,0,10.67,LY,clear sky
192,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
193,Busselton,-33.65,115.3333,63.0,76,0,4.0,AU,clear sky
194,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
195,Busselton,-33.65,115.3333,63.0,76,0,4.0,AU,clear sky
196,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
197,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
198,Qaanaaq,77.484,-69.3632,-7.26,70,91,1.66,GL,overcast clouds
199,Albany,42.6001,-73.9662,21.0,46,11,5.01,US,few clouds
200,Qaanaaq,77.484,-69.3632,-7.26,70,91,1.66,GL,overcast clouds
201,Polis,35.0367,32.4264,64.4,77,75,24.16,CY,moderate rain
202,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
203,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
204,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
205,Cidreira,-30.1811,-50.2056,78.19,88,100,8.25,BR,moderate rain
206,Bredasdorp,-34.5322,20.0403,66.99,83,4,1.99,ZA,clear sky
